dataset,learning_rate,train_val_split,precision,accuracy,recall,f1
mushroom,1.0,9:1,0.983,0.969,0.957,0.970
mushroom,1.0,8:2,0.977,0.967,0.961,0.968
mushroom,1.0,7:3,0.974,0.966,0.960,0.967
mushroom,0.1,9:1,0.975,0.965,0.956,0.965
mushroom,0.1,8:2,0.973,0.967,0.961,0.967
mushroom,0.1,7:3,0.961,0.965,0.969,0.965
mushroom,0.5,9:1,0.973,0.969,0.968,0.970
mushroom,0.5,8:2,0.962,0.964,0.966,0.964
mushroom,0.5,7:3,0.980,0.971,0.965,0.972
fetal_health,1.0,9:1,0.918,0.934,0.978,0.947
fetal_health,1.0,8:2,0.944,0.928,0.934,0.944
fetal_health,1.0,7:3,0.936,0.906,0.952,0.944
fetal_health,0.1,9:1,0.908,0.897,0.951,0.939
fetal_health,0.1,8:2,0.932,0.907,0.931,0.946
fetal_health,0.1,7:3,0.939,0.912,0.937,0.948
fetal_health,0.5,9:1,0.921,0.914,0.933,0.948
fetal_health,0.5,8:2,0.932,0.901,0.933,0.943
fetal_health,0.5,7:3,0.934,0.909,0.962,0.939